INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BANCWASN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,34,ACTUAL,9
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8668,ACTUAL,10
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8955,ACTUAL,10
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7875,ACTUAL,10
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8414,ACTUAL,10
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8115,ACTUAL,10
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9293,ACTUAL,10
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9456,ACTUAL,10
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,BCHA,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,9589,ACTUAL,10
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7129,ACTUAL,11
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7514,ACTUAL,11
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8140,ACTUAL,11
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7716,ACTUAL,11
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7309,ACTUAL,11
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8283,ACTUAL,11
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,8104,ACTUAL,11
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,BPAT,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,7885,ACTUAL,11
2025-01-01T07:00:00-00:00,2025-01-01T08:00:00-00:00,0,2024-12-31,24,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,22143,ACTUAL,12
2025-01-01T02:00:00-00:00,2025-01-01T03:00:00-00:00,0,2024-12-31,19,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,25725,ACTUAL,12
2025-01-01T04:00:00-00:00,2025-01-01T05:00:00-00:00,0,2024-12-31,21,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,24354,ACTUAL,12
2025-01-01T01:00:00-00:00,2025-01-01T02:00:00-00:00,0,2024-12-31,18,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,26104,ACTUAL,12
2025-01-01T00:00:00-00:00,2025-01-01T01:00:00-00:00,0,2024-12-31,17,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,23934,ACTUAL,12
2025-01-01T06:00:00-00:00,2025-01-01T07:00:00-00:00,0,2024-12-31,23,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,23011,ACTUAL,12
2025-01-01T03:00:00-00:00,2025-01-01T04:00:00-00:00,0,2024-12-31,20,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,25087,ACTUAL,12
2025-01-01T05:00:00-00:00,2025-01-01T06:00:00-00:00,0,2024-12-31,22,0,ACTUAL,CA ISO-TAC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.0,23767,ACTUAL,12
