OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2025-01-01,13,0,2025-01-01T20:00:00-00:00,2025-01-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,976.37072,ACTUAL,7
2025-01-01,3,0,2025-01-01T10:00:00-00:00,2025-01-01T11:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.83352,ACTUAL,7
2025-01-01,12,0,2025-01-01T19:00:00-00:00,2025-01-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,1060.26637,ACTUAL,7
2025-01-01,9,0,2025-01-01T16:00:00-00:00,2025-01-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,385.99453,ACTUAL,7
2025-01-01,24,0,2025-01-02T07:00:00-00:00,2025-01-02T08:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.84401,ACTUAL,7
2025-01-01,2,0,2025-01-01T09:00:00-00:00,2025-01-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.74449,ACTUAL,7
2025-01-01,23,0,2025-01-02T06:00:00-00:00,2025-01-02T07:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-5.90643,ACTUAL,7
2025-01-01,20,0,2025-01-02T03:00:00-00:00,2025-01-02T04:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,101.19115,ACTUAL,7
2025-01-01,8,0,2025-01-01T15:00:00-00:00,2025-01-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,74.24011,ACTUAL,7
2025-01-01,1,0,2025-01-01T08:00:00-00:00,2025-01-01T09:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.70393,ACTUAL,7
2025-01-01,7,0,2025-01-01T14:00:00-00:00,2025-01-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.85994,ACTUAL,7
2025-01-01,6,0,2025-01-01T13:00:00-00:00,2025-01-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,3,-6.74302,ACTUAL,7
2025-01-01,18,0,2025-01-02T01:00:00-00:00,2025-01-02T02:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,30.48584,ACTUAL,8
2025-01-01,17,0,2025-01-02T00:00:00-00:00,2025-01-02T01:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,31.96436,ACTUAL,8
2025-01-01,16,0,2025-01-01T23:00:00-00:00,2025-01-02T00:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,25.85574,ACTUAL,8
2025-01-01,15,0,2025-01-01T22:00:00-00:00,2025-01-01T23:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,27.89985,ACTUAL,8
2025-01-01,14,0,2025-01-01T21:00:00-00:00,2025-01-01T22:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,34.56339,ACTUAL,8
2025-01-01,13,0,2025-01-01T20:00:00-00:00,2025-01-01T21:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,53.83418,ACTUAL,8
2025-01-01,12,0,2025-01-01T19:00:00-00:00,2025-01-01T20:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,66.88032,ACTUAL,8
2025-01-01,24,0,2025-01-02T07:00:00-00:00,2025-01-02T08:00:00-00:00,NP15,Wind,Renewable Forecast Actual Generation,RENEW_FCST_ACT_MW,3,1,92.87603,ACTUAL,8
