PNODE_ID,TAC_AREA_NAME,UNMATCHED_REASON,TRADING_HUB,PNODE_ID_LOWER,PNODE_ID_STRIPPED,PNODE_ID_LEN
MALIN_5_N101,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,malin_5_n101,MALIN_5_N101,12
ARRIBA_1_SANMIGUEL2PVGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,arriba_1_sanmiguel2pvgnode,ARRIBA_1_SANMIGUEL2PVGNODE,26
COVEMOUN_GNODE2,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,covemoun_gnode2,COVEMOUN_GNODE2,15
FC_3_FCST4_PNMGNODE,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,fc_3_fcst4_pnmgnode,FC_3_FCST4_PNMGNODE,19
SUT_CISO_2_N001,NORTH,"in TAC map, not in hub map (load/intertie PNodes expected)",,sut_ciso_2_n001,SUT_CISO_2_N001,15
MHD_7_BSN9GNODE,NWMT,"in TAC map, not in hub map (load/intertie PNodes expected)",,mhd_7_bsn9gnode,MHD_7_BSN9GNODE,15
DONPEDRO_6_MIDUNIT2GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,donpedro_6_midunit2gnode,DONPEDRO_6_MIDUNIT2GNODE,24
SPILLS_6_ELVADOHYDROGNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,spills_6_elvadohydrognode,SPILLS_6_ELVADOHYDROGNODE,25
EGLSHMTN_2_PV_UNITGNODE,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,eglshmtn_2_pv_unitgnode,EGLSHMTN_2_PV_UNITGNODE,23
MCCLURE_1_MGSUNIT1GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,mcclure_1_mgsunit1gnode,MCCLURE_1_MGSUNIT1GNODE,23
RDGPOWER_1_UNIT2GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,rdgpower_1_unit2gnode,RDGPOWER_1_UNIT2GNODE,21
RPP2_6_CTG1GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,rpp2_6_ctg1gnode,RPP2_6_CTG1GNODE,16
RPP2_6_CTG2GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,rpp2_6_ctg2gnode,RPP2_6_CTG2GNODE,16
INTGS_3_PP_PASGNODE,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,intgs_3_pp_pasgnode,INTGS_3_PP_PASGNODE,19
PTR_PP_GNODEEE,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,ptr_pp_gnodeee,PTR_PP_GNODEEE,14
RIPON_6_RGSUNIT1GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,ripon_6_rgsunit1gnode,RIPON_6_RGSUNIT1GNODE,21
RIPON_6_RGSUNIT2GNODE,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,ripon_6_rgsunit2gnode,RIPON_6_RGSUNIT2GNODE,21
DODGEFLT_3_BESS_UNITGNODE,NEVP,"in TAC map, not in hub map (load/intertie PNodes expected)",,dodgeflt_3_bess_unitgnode,DODGEFLT_3_BESS_UNITGNODE,25
PYGS_1_PYRAMID A4GNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,pygs_1_pyramid a4gnode,PYGS_1_PYRAMID A4GNODE,22
MCK_GEN_7_DGGS3GNODE,NWMT,"in TAC map, not in hub map (load/intertie PNodes expected)",,mck_gen_7_dggs3gnode,MCK_GEN_7_DGGS3GNODE,20
CAPTJACK_5_N504,BANC,"in TAC map, not in hub map (load/intertie PNodes expected)",,captjack_5_n504,CAPTJACK_5_N504,15
KAISER_7_XF3AFD4LNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,kaiser_7_xf3afd4lnode,KAISER_7_XF3AFD4LNODE,21
LITTLEFL_1_4GNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,littlefl_1_4gnode,LITTLEFL_1_4GNODE,17
LONGLAKE_1_1GNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,longlake_1_1gnode,LONGLAKE_1_1GNODE,17
MOSSYRK_7_G51GNODE,TPWR,"in TAC map, not in hub map (load/intertie PNodes expected)",,mossyrk_7_g51gnode,MOSSYRK_7_G51GNODE,18
KAISER_7_XF2FDR1LNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,kaiser_7_xf2fdr1lnode,KAISER_7_XF2FDR1LNODE,21
SUMFLTP_7_GENGNODE,TPWR,"in TAC map, not in hub map (load/intertie PNodes expected)",,sumfltp_7_gengnode,SUMFLTP_7_GENGNODE,18
GONDER_2_N501,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,gonder_2_n501,GONDER_2_N501,13
NCW_1_NINECNYN_BPASHAREGNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,ncw_1_ninecnyn_bpasharegnode,NCW_1_NINECNYN_BPASHAREGNODE,28
CIBOLA_1_ROUTE66GNODE,PNM,"in TAC map, not in hub map (load/intertie PNodes expected)",,cibola_1_route66gnode,CIBOLA_1_ROUTE66GNODE,21
IR_7_RICE_5GNODE,TEPC,"in TAC map, not in hub map (load/intertie PNodes expected)",,ir_7_rice_5gnode,IR_7_RICE_5GNODE,16
PFS_7_PRAIRE_FIREGNODE,TEPC,"in TAC map, not in hub map (load/intertie PNodes expected)",,pfs_7_praire_firegnode,PFS_7_PRAIRE_FIREGNODE,22
TEP_FC_3_FOURCORNERS_4GNODE,TEPC,"in TAC map, not in hub map (load/intertie PNodes expected)",,tep_fc_3_fourcorners_4gnode,TEP_FC_3_FOURCORNERS_4GNODE,27
DIMND_LK_1_XF1LNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,dimnd_lk_1_xf1lnode,DIMND_LK_1_XF1LNODE,19
AY_7_AVRA_VALLEYGNODE,TEPC,"in TAC map, not in hub map (load/intertie PNodes expected)",,ay_7_avra_valleygnode,AY_7_AVRA_VALLEYGNODE,21
CLEARWTR_7_T2LNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,clearwtr_7_t2lnode,CLEARWTR_7_T2LNODE,18
INTGS_3_DESGNODE,LADWP,"in TAC map, not in hub map (load/intertie PNodes expected)",,intgs_3_desgnode,INTGS_3_DESGNODE,16
WYNOOCHE_7_G71GNODE,TPWR,"in TAC map, not in hub map (load/intertie PNodes expected)",,wynooche_7_g71gnode,WYNOOCHE_7_G71GNODE,19
COLSTRIP_5_AVAGNODE,AVA,"in TAC map, not in hub map (load/intertie PNodes expected)",,colstrip_5_avagnode,COLSTRIP_5_AVAGNODE,19
UNIV_EW_1_UFOGNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,univ_ew_1_ufognode,UNIV_EW_1_UFOGNODE,18
BLUERDGE_2_G23GNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,bluerdge_2_g23gnode,BLUERDGE_2_G23GNODE,19
WEYRHSR3_1_G01GNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,weyrhsr3_1_g01gnode,WEYRHSR3_1_G01GNODE,19
FRD_2_FREDCOGN_BPASHAREGNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,frd_2_fredcogn_bpasharegnode,FRD_2_FREDCOGN_BPASHAREGNODE,28
ADAIR_1_G01GNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,adair_1_g01gnode,ADAIR_1_G01GNODE,16
WAUNA_2_JRWGNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,wauna_2_jrwgnode,WAUNA_2_JRWGNODE,16
ASHE_5_G01GNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,ashe_5_g01gnode,ASHE_5_G01GNODE,15
KITASVLY_2_Z1GNODE,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,kitasvly_2_z1gnode,KITASVLY_2_Z1GNODE,18
CTL_7_HYD2_BESSGNODE,AZPS,"in TAC map, not in hub map (load/intertie PNodes expected)",,ctl_7_hyd2_bessgnode,CTL_7_HYD2_BESSGNODE,20
THATCHER_1_SOLAR1GNODE,PAC,"in TAC map, not in hub map (load/intertie PNodes expected)",,thatcher_1_solar1gnode,THATCHER_1_SOLAR1GNODE,22
COP_1_COPPERGNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,cop_1_coppergnode,COP_1_COPPERGNODE,17
MPS_1_MONTANA_3GNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,mps_1_montana_3gnode,MPS_1_MONTANA_3GNODE,20
STA_1_STA_NRG1_SLRGNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,sta_1_sta_nrg1_slrgnode,STA_1_STA_NRG1_SLRGNODE,23
CAPTJACK_5_N015,BPAT,"in TAC map, not in hub map (load/intertie PNodes expected)",,captjack_5_n015,CAPTJACK_5_N015,15
CE1_1_CE1_CRLEF_GENGNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,ce1_1_ce1_crlef_gengnode,CE1_1_CE1_CRLEF_GENGNODE,24
CHA_1_CHA_SUNED_SLRGNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,cha_1_cha_suned_slrgnode,CHA_1_CHA_SUNED_SLRGNODE,24
PAT_1_PAT_PSEG_SLRGNODE,EPE,"in TAC map, not in hub map (load/intertie PNodes expected)",,pat_1_pat_pseg_slrgnode,PAT_1_PAT_PSEG_SLRGNODE,23
HGROCK_6_HYDRGNODE,WALC,"in TAC map, not in hub map (load/intertie PNodes expected)",,hgrock_6_hydrgnode,HGROCK_6_HYDRGNODE,18
SIPHONDROP_7_HYDRGNODE,WALC,"in TAC map, not in hub map (load/intertie PNodes expected)",,siphondrop_7_hydrgnode,SIPHONDROP_7_HYDRGNODE,22
